 date,weekday,downloads
2014-06-12,4,0
2014-06-13,5,1
2014-06-14,6,3
2014-06-15,0,2
2014-06-16,1,4
2014-06-17,2,1
2014-06-18,3,2
2014-06-19,4,1
2014-06-20,5,1
2014-06-21,6,1
2014-06-22,0,1
2014-06-23,1,4
2014-06-24,2,4
2014-06-25,3,2
2014-06-26,4,0
2014-06-27,5,3
2014-06-28,6,0
2014-06-29,0,3
2014-06-30,1,1
2014-07-01,2,1
2014-07-02,3,1
2014-07-03,4,0
2014-07-04,5,2
2014-07-05,6,0
2014-07-06,0,6
2014-07-07,1,0
2014-07-08,2,0
2014-07-09,3,2
2014-07-10,4,2
2014-07-11,5,0
2014-07-12,6,3
2014-07-13,0,1
2014-07-14,1,1
2014-07-15,2,1
2014-07-16,3,3
2014-07-17,4,1
2014-07-18,5,0
2014-07-19,6,0
2014-07-20,0,2
2014-07-21,1,0
2014-07-22,2,0
2014-07-23,3,0
2014-07-24,4,2
2014-07-25,5,2
2014-07-26,6,1
2014-07-27,0,0
2014-07-28,1,0
2014-07-29,2,1
2014-07-30,3,2
2014-07-31,4,2
2014-08-01,5,1
2014-08-02,6,1
2014-08-03,0,0
2014-08-04,1,0
2014-08-05,2,3
2014-08-06,3,2
2014-08-07,4,1
2014-08-08,5,1
2014-08-09,6,0
2014-08-10,0,3
2014-08-11,1,1
2014-08-12,2,1
2014-08-13,3,0
2014-08-14,4,0
2014-08-15,5,1
2014-08-16,6,1
2014-08-17,0,1
2014-08-18,1,2
2014-08-19,2,1
2014-08-20,3,2
2014-08-21,4,2
2014-08-22,5,5
2014-08-23,6,11
2014-08-24,0,6
2014-08-25,1,4
2014-08-26,2,4
2014-08-27,3,2
2014-08-28,4,0
2014-08-29,5,4
2014-08-30,6,1
2014-08-31,0,6
2014-09-01,1,4
2014-09-02,2,3
2014-09-03,3,2
2014-09-04,4,8
2014-09-05,5,18
2014-09-06,6,5
2014-09-07,0,1
2014-09-08,1,0
2014-09-09,2,5
2014-09-10,3,5
2014-09-11,4,2
2014-09-12,5,2
2014-09-13,6,3
2014-09-14,0,3
2014-09-15,1,0
2014-09-16,2,1
2014-09-17,3,3
2014-09-18,4,2
2014-09-19,5,1
2014-09-20,6,2
2014-09-21,0,0
2014-09-22,1,0
2014-09-23,2,4
2014-09-24,3,3
2014-09-25,4,2
2014-09-26,5,3
2014-09-27,6,2
2014-09-28,0,5
2014-09-29,1,1
2014-09-30,2,1
2014-10-01,3,3
2014-10-02,4,1
2014-10-03,5,3
2014-10-04,6,3
2014-10-05,0,1
2014-10-06,1,1
2014-10-07,2,0
2014-10-08,3,1
2014-10-09,4,2
2014-10-10,5,4
2014-10-11,6,4
2014-10-12,0,3
2014-10-13,1,2
2014-10-14,2,0
2014-10-15,3,1
2014-10-16,4,0
2014-10-17,5,0
2014-10-18,6,0
2014-10-19,0,0
2014-10-20,1,0
2014-10-21,2,2
2014-10-22,3,2
2014-10-23,4,2
2014-10-24,5,0
2014-10-25,6,1
2014-10-26,0,1
2014-10-27,1,0
2014-10-28,2,1
2014-10-29,3,0
2014-10-30,4,0
2014-10-31,5,2
2014-11-01,6,1
2014-11-02,0,0
2014-11-03,1,1
2014-11-04,2,1
2014-11-05,3,3
2014-11-06,4,1
2014-11-07,5,1
2014-11-08,6,9
2014-11-09,0,12
2014-11-10,1,13
2014-11-11,2,6
2014-11-12,3,1
2014-11-13,4,6
2014-11-14,5,5
2014-11-15,6,4
2014-11-16,0,4
2014-11-17,1,2
2014-11-18,2,1
2014-11-19,3,3
2014-11-20,4,2
2014-11-21,5,6
2014-11-22,6,4
2014-11-23,0,2
2014-11-24,1,1
2014-11-25,2,2
2014-11-26,3,1
2014-11-27,4,3
2014-11-28,5,1
2014-11-29,6,4
2014-11-30,0,1
2014-12-01,1,6
2014-12-02,2,2
2014-12-03,3,2
2014-12-04,4,1
2014-12-05,5,2
2014-12-06,6,0
2014-12-07,0,0
2014-12-08,1,0
2014-12-09,2,0
2014-12-10,3,3
2014-12-11,4,0
2014-12-12,5,1
2014-12-13,6,1
2014-12-14,0,0
2014-12-15,1,0
2014-12-16,2,0
2014-12-17,3,9
2014-12-18,4,24
2014-12-19,5,12
2014-12-20,6,9
2014-12-21,0,5
2014-12-22,1,9
2014-12-23,2,4
2014-12-24,3,1
2014-12-25,4,3
2014-12-26,5,2
2014-12-27,6,2
2014-12-28,0,4
2014-12-29,1,11
2014-12-30,2,4
2014-12-31,3,2
2015-01-01,4,0
2015-01-02,5,2
2015-01-03,6,1
2015-01-04,0,1
2015-01-05,1,2
2015-01-06,2,1
2015-01-07,3,3
2015-01-08,4,1
2015-01-09,5,2
2015-01-10,6,1
2015-01-11,0,1
2015-01-12,1,2
2015-01-13,2,0
2015-01-14,3,1
2015-01-15,4,1
2015-01-16,5,1
2015-01-17,6,2
2015-01-18,0,1
2015-01-19,1,2
2015-01-20,2,3
2015-01-21,3,1
2015-01-22,4,1
2015-01-23,5,0
2015-01-24,6,3
2015-01-25,0,1
2015-01-26,1,0
2015-01-27,2,2
2015-01-28,3,1
2015-01-29,4,1
2015-01-30,5,2
2015-01-31,6,2
2015-02-01,0,2
2015-02-02,1,1
2015-02-03,2,2
2015-02-04,3,1
2015-02-05,4,0
2015-02-06,5,0
2015-02-07,6,0
2015-02-08,0,1
2015-02-09,1,0
2015-02-10,2,0
2015-02-11,3,11
2015-02-12,4,22
2015-02-13,5,13
2015-02-14,6,14
2015-02-15,0,11
2015-02-16,1,12
2015-02-17,2,15
2015-02-18,3,6
2015-02-19,4,4
2015-02-20,5,4
2015-02-21,6,6
2015-02-22,0,7
2015-02-23,1,5
2015-02-24,2,1
2015-02-25,3,6
2015-02-26,4,6
2015-02-27,5,3
2015-02-28,6,1
2015-03-01,0,0
2015-03-02,1,2
2015-03-03,2,0
2015-03-04,3,4
2015-03-05,4,1
2015-03-06,5,3
2015-03-07,6,1
2015-03-08,0,1
2015-03-09,1,0
2015-03-10,2,2
2015-03-11,3,2
2015-03-12,4,1
2015-03-13,5,0
2015-03-14,6,1
2015-03-15,0,1
2015-03-16,1,0
2015-03-17,2,1
2015-03-18,3,1
2015-03-19,4,1
2015-03-20,5,1
2015-03-21,6,0
2015-03-22,0,2
2015-03-23,1,2
2015-03-24,2,2
2015-03-25,3,2
2015-03-26,4,2
2015-03-27,5,2
2015-03-28,6,0
2015-03-29,0,3
2015-03-30,1,0
2015-03-31,2,1
2015-04-01,3,1
2015-04-02,4,0
2015-04-03,5,1
2015-04-04,6,1
2015-04-05,0,1
2015-04-06,1,2
2015-04-07,2,2
2015-04-08,3,2
2015-04-09,4,0
2015-04-10,5,0
2015-04-11,6,2
2015-04-12,0,3
2015-04-13,1,1
2015-04-14,2,11
2015-04-15,3,19
2015-04-16,4,10
2015-04-17,5,5
2015-04-18,6,1
2015-04-19,0,3
2015-04-20,1,5
2015-04-21,2,8
2015-04-22,3,5
2015-04-23,4,6
2015-04-24,5,6
2015-04-25,6,5
2015-04-26,0,4
2015-04-27,1,4
2015-04-28,2,5
2015-04-29,3,1
2015-04-30,4,3
2015-05-01,5,1
2015-05-02,6,1
2015-05-03,0,3
2015-05-04,1,2
2015-05-05,2,3
2015-05-06,3,0
2015-05-07,4,0
2015-05-08,5,2
2015-05-09,6,0
2015-05-10,0,1
2015-05-11,1,2
2015-05-12,2,0
2015-05-13,3,2
2015-05-14,4,0
2015-05-15,5,2
2015-05-16,6,1
2015-05-17,0,3
2015-05-18,1,1
2015-05-19,2,3
2015-05-20,3,2
2015-05-21,4,0
2015-05-22,5,0
2015-05-23,6,2
2015-05-24,0,1
2015-05-25,1,2
2015-05-26,2,3
2015-05-27,3,1
2015-05-28,4,0
2015-05-29,5,3
2015-05-30,6,1
2015-05-31,0,1
2015-06-01,1,2
2015-06-02,2,2
2015-06-03,3,0
2015-06-04,4,0
2015-06-05,5,3
2015-06-06,6,0
2015-06-07,0,0
2015-06-08,1,1
2015-06-09,2,0
2015-06-10,3,2
2015-06-11,4,1
2015-06-12,5,1
2015-06-13,6,0
2015-06-14,0,0
2015-06-15,1,1
2015-06-16,2,10
2015-06-17,3,20
2015-06-18,4,11
2015-06-19,5,6
2015-06-20,6,1
2015-06-21,0,2
2015-06-22,1,6
2015-06-23,2,8
2015-06-24,3,2
2015-06-25,4,8
2015-06-26,5,1
2015-06-27,6,0
2015-06-28,0,1
2015-06-29,1,5
2015-06-30,2,3
2015-07-01,3,2
2015-07-02,4,2
2015-07-03,5,1
2015-07-04,6,10
2015-07-05,0,18
2015-07-06,1,7
2015-07-07,2,9
2015-07-08,3,7
2015-07-09,4,3
2015-09-06,0,1
2015-09-07,1,1
2015-09-08,2,2
2015-09-09,3,0
2015-09-10,4,0
2015-09-11,5,3
2015-09-12,6,0
2015-09-13,0,0
2015-09-14,1,0
2015-09-15,2,1
2015-09-16,3,2
2015-09-17,4,2
2015-09-18,5,0
2015-09-19,6,1
2015-09-20,0,0
2015-09-21,1,2
2015-09-22,2,0
2015-09-23,3,1
2015-09-24,4,0
2015-09-25,5,0
2015-09-26,6,1
2015-09-27,0,0
2015-09-28,1,2
2015-09-29,2,0
2015-09-30,3,0
2015-10-01,4,1
2015-10-02,5,1
2015-10-03,6,0
2015-10-04,0,1
2015-10-05,1,1
2015-10-06,2,4
2015-10-07,3,3
2015-10-08,4,0
2015-10-09,5,0
2015-10-10,6,2
2015-10-11,0,1
2015-10-12,1,1
2015-10-13,2,1
2015-10-14,3,0
2015-10-15,4,1
2015-10-16,5,2
2015-10-17,6,1
2015-10-18,0,1
2015-10-19,1,3
2015-10-20,2,1
2015-10-21,3,1
2015-10-22,4,0
2015-10-23,5,1
2015-10-24,6,1
2015-10-25,0,1
2015-10-26,1,2
2015-10-27,2,2
2015-10-28,3,0
2015-10-29,4,0
2015-10-30,5,0
2015-10-31,6,0
2015-11-01,0,1
2015-11-02,1,0
2015-11-03,2,1
2015-11-04,3,1
2015-11-05,4,0
2015-11-06,5,2
2015-11-07,6,0
2015-11-08,0,0
2015-11-09,1,1
2015-11-10,2,0
2015-11-11,3,0
2015-11-12,4,0
2015-11-13,5,2
2015-11-14,6,0
2015-11-15,0,0
2015-11-16,1,0
2015-11-17,2,0
2015-11-18,3,1
2015-11-19,4,0
2015-11-20,5,0
2015-11-21,6,1
2015-11-22,0,0
2015-11-23,1,1
2015-11-24,2,0
2015-11-25,3,0
2015-11-26,4,0
2015-11-27,5,0
2015-11-28,6,1
2015-11-29,0,0
2015-11-30,1,0
2015-12-01,2,0
2015-12-02,3,1
2015-12-03,4,0
2015-12-04,5,0
2015-12-05,6,1
2015-12-06,0,0
2015-12-07,1,2
2015-12-08,2,1
2015-12-09,3,2
2015-12-10,4,2
2015-12-11,5,1
2015-12-12,6,2
2015-12-13,0,1
2015-12-14,1,1
2015-12-15,2,0
2015-12-16,3,2
2015-12-17,4,1
2015-12-18,5,1
2015-12-19,6,0
2015-12-20,0,0
2015-12-21,1,0
2015-12-22,2,0
2015-12-23,3,1
2015-12-24,4,1
2015-12-25,5,0
2015-12-26,6,0
2015-12-27,0,0
2015-12-28,1,1
2015-12-29,2,0
2015-12-30,3,0
2015-12-31,4,0
2016-01-01,5,1
2016-01-02,6,5
2016-01-03,0,0
2016-01-04,1,1
2016-01-05,2,1
2016-01-06,3,0
2016-01-07,4,1
2016-01-08,5,0
2016-01-09,6,1
2016-01-10,0,0
2016-01-11,1,0
2016-01-12,2,2
2016-01-13,3,2
2016-01-14,4,2
2016-01-15,5,0
2016-01-16,6,1
2016-01-17,0,1
2016-01-18,1,1
2016-01-19,2,0
2016-01-20,3,0
2016-01-21,4,0
2016-01-22,5,1
2016-01-23,6,0
2016-01-24,0,1
2016-01-25,1,1
2016-01-26,2,1
2016-01-27,3,1
2016-01-28,4,0
2016-01-29,5,0
2016-01-30,6,1
2016-01-31,0,1
2016-02-01,1,0
2016-02-02,2,0
2016-02-03,3,0
2016-02-04,4,1
2016-02-05,5,2
2016-02-06,6,0
2016-02-07,0,0
2016-02-08,1,1
2016-02-09,2,0
2016-02-10,3,0
2016-02-11,4,0
2016-02-12,5,1
2016-02-13,6,0
2016-02-14,0,1
2016-02-15,1,4
2016-02-16,2,2
2016-02-17,3,0
2016-02-18,4,1
2016-02-19,5,1
2016-02-20,6,1
2016-02-21,0,0
2016-02-22,1,2
2016-02-23,2,0
2016-02-24,3,1
2016-02-25,4,1
2016-02-26,5,0
2016-02-27,6,1
2016-02-28,0,0
2016-02-29,1,0
2016-03-01,2,0
2016-03-02,3,0
2016-03-03,4,0
2016-03-04,5,1
2016-03-05,6,1
2016-03-06,0,1
2016-03-07,1,0
2016-03-08,2,0
2016-03-09,3,1
2016-03-10,4,1
2016-03-11,5,1
2016-03-12,6,0
2016-03-13,0,2
2016-03-14,1,1
2016-03-15,2,0
2016-03-16,3,1
2016-03-17,4,1
2016-03-18,5,1
2016-03-19,6,1
2016-03-20,0,0
2016-03-21,1,2
2016-03-22,2,3
2016-03-23,3,1
2016-03-24,4,1
2016-03-25,5,1
2016-03-26,6,0
2016-03-27,0,1
2016-03-28,1,0
2016-03-29,2,0
2016-03-30,3,0
2016-03-31,4,0
2016-04-01,5,0
2016-04-02,6,0
2016-04-03,0,0
2016-04-04,1,1
2016-04-05,2,0
2016-04-06,3,1
2016-04-07,4,2
2016-04-08,5,1
2016-04-09,6,0
2016-04-10,0,0
2016-04-11,1,0
2016-04-12,2,0
2016-04-13,3,0
2016-04-14,4,0
2016-04-15,5,0
2016-04-16,6,0
2016-04-17,0,0
2016-04-18,1,1
2016-04-19,2,0
2016-04-20,3,0
2016-04-21,4,0
2016-04-22,5,1
2016-04-23,6,0
2016-04-24,0,0
2016-04-25,1,0
2016-04-26,2,1
2016-04-27,3,0
2016-04-28,4,0
2016-04-29,5,0
2016-04-30,6,0
2016-05-01,0,2
2016-05-02,1,0
2016-05-03,2,0
2016-05-04,3,0
2016-05-05,4,0
2016-05-06,5,1
2016-05-07,6,1
2016-05-08,0,2
2016-05-09,1,0
2016-05-10,2,1
2016-05-11,3,0
2016-05-12,4,0
2016-05-13,5,1
2016-05-14,6,0
2016-05-15,0,0
2016-05-16,1,0
2016-05-17,2,1
2016-05-18,3,1
2016-05-19,4,1
2016-05-20,5,1
2016-05-21,6,0
2016-05-22,0,0
2016-05-23,1,1
2016-05-24,2,1
2016-05-25,3,1
2016-05-26,4,0
2016-05-27,5,0
2016-05-28,6,0
2016-05-29,0,2
2016-05-30,1,1
2016-05-31,2,0
2016-06-01,3,1
2016-06-02,4,0
2016-06-03,5,0
2016-06-04,6,0
2016-06-05,0,0
2016-06-06,1,0
2016-06-07,2,1
2016-06-08,3,1
2016-06-09,4,0
2016-06-10,5,2
2016-06-11,6,0
2016-06-12,0,0
2016-06-13,1,0
2016-06-14,2,0
2016-06-15,3,0
2016-06-16,4,2
2016-06-17,5,2
2016-06-18,6,1
2016-06-19,0,1
2016-06-20,1,0
2016-06-21,2,0
2016-06-22,3,0
2016-06-23,4,0
2016-06-24,5,0
2016-06-25,6,0
2016-06-26,0,1
2016-06-27,1,1
2016-06-28,2,1
2016-06-29,3,0
2016-06-30,4,1
2016-07-01,5,0
2016-07-02,6,0
2016-07-03,0,1
2016-07-04,1,0
2016-07-05,2,1
2016-07-06,3,1
2016-07-07,4,0
2016-07-08,5,0
2016-07-09,6,0
2016-07-10,0,1
2016-07-11,1,0
2016-07-12,2,0
2016-07-13,3,0
2016-07-14,4,1
2016-07-15,5,1
2016-07-16,6,1
2016-07-17,0,0
2016-07-18,1,1
2016-07-19,2,0
2016-07-20,3,0
2016-07-21,4,0
2016-07-22,5,0
2016-07-23,6,0
2016-07-24,0,1
2016-07-25,1,0
2016-07-26,2,0
2016-07-27,3,1
2016-07-28,4,1
2016-07-29,5,0
2016-07-30,6,0
2016-07-31,0,1
2016-08-01,1,0
2016-08-02,2,0
2016-08-03,3,0
2016-08-04,4,0
2016-08-05,5,0
2016-08-06,6,0
2016-08-07,0,1
2016-08-08,1,1
2016-08-09,2,1
2016-08-10,3,1
2016-08-11,4,1
2016-08-12,5,0
2016-08-13,6,0
2016-08-14,0,0
2016-08-15,1,0
2016-08-16,2,1
2016-08-17,3,0
2016-08-18,4,1
2016-08-19,5,2
2016-08-20,6,0
2016-08-21,0,1
2016-08-22,1,1
2016-08-23,2,0
2016-08-24,3,0
2016-08-25,4,1
2016-08-26,5,0
2016-08-27,6,2
2016-08-28,0,1
2016-08-29,1,0
2016-08-30,2,2
2016-08-31,3,1
2016-09-01,4,1
2016-09-02,5,0
2016-09-03,6,0
2016-09-04,0,2
2016-09-05,1,0
2016-09-06,2,0
2016-09-07,3,0
2016-09-08,4,0
2016-09-09,5,2
2016-09-10,6,2
2016-09-11,0,0
2016-09-12,1,0
2016-09-13,2,3
2016-09-14,3,0
2016-09-15,4,0
2016-09-16,5,0
2016-09-17,6,0
2016-09-18,0,0
2016-09-19,1,0
2016-09-20,2,0
2016-09-21,3,0
2016-09-22,4,1
2016-09-23,5,0
2016-09-24,6,0
2016-09-25,0,0
2016-09-26,1,0
2016-09-27,2,0
2016-09-28,3,0
2016-09-29,4,0
2016-09-30,5,0
2016-10-01,6,1
2016-10-02,0,0
2016-10-03,1,1
2016-10-04,2,0
2016-10-05,3,0
2016-10-06,4,2
2016-10-07,5,0
2016-10-08,6,0
2016-10-09,0,1
2016-10-10,1,1
2016-10-11,2,0
2016-10-12,3,1
2016-10-13,4,0
2016-10-14,5,0
2016-10-15,6,0
2016-10-16,0,0
2016-10-17,1,2
2016-10-18,2,3
2016-10-19,3,2
2016-10-20,4,1
2016-10-21,5,1
2016-10-22,6,0
2016-10-23,0,0
2016-10-24,1,0
2016-10-25,2,0
2016-10-26,3,0
2016-10-27,4,2
2016-10-28,5,3
2016-10-29,6,0
2016-10-30,0,0
2016-10-31,1,3
2016-11-01,2,0
2016-11-02,3,1
2016-11-03,4,0
2016-11-04,5,1
2016-11-05,6,0
2016-11-06,0,0
2016-11-07,1,0
2016-11-08,2,2
2016-11-09,3,0
2016-11-10,4,1
2016-11-11,5,0
2016-11-12,6,1
2016-11-13,0,1
2016-11-14,1,2
2016-11-15,2,1
2016-11-16,3,0
2016-11-17,4,1
2016-11-18,5,0
2016-11-19,6,1
2016-11-20,0,0
2016-11-21,1,0
2016-11-22,2,1
2016-11-23,3,2
2016-11-24,4,0
2016-11-25,5,2
2016-11-26,6,0
2016-11-27,0,1
2016-11-28,1,0
2016-11-29,2,1
2016-11-30,3,1
2016-12-01,4,0
2016-12-02,5,2
2016-12-03,6,0
2016-12-04,0,1
2016-12-05,1,2
2016-12-06,2,0
2016-12-07,3,0
2016-12-08,4,0
2016-12-09,5,2
2016-12-10,6,2
2016-12-11,0,1
2016-12-12,1,1
2016-12-13,2,1
2016-12-14,3,2
2016-12-15,4,0
2016-12-16,5,0
2016-12-17,6,0
2016-12-18,0,1
2016-12-19,1,2
2016-12-20,2,0
2016-12-21,3,0
2016-12-22,4,1
2016-12-23,5,2
2016-12-24,6,2
2016-12-25,0,0
2016-12-26,1,0
2016-12-27,2,0
2016-12-28,3,2
2016-12-29,4,2
2016-12-30,5,1
2016-12-31,6,0
2017-01-01,0,0
2017-01-02,1,1
2017-01-03,2,1
2017-01-04,3,0
2017-01-05,4,1
2017-01-06,5,1
2017-01-07,6,0
2017-01-08,0,0
2017-01-09,1,1
2017-01-10,2,0
2017-01-11,3,0
2017-01-12,4,0
2017-01-13,5,1
2017-01-14,6,0
2017-01-15,0,0
2017-01-16,1,0
2017-01-17,2,0
2017-01-18,3,0
2017-01-19,4,0
2017-01-20,5,3
2017-01-21,6,0
2017-01-22,0,3
2017-01-23,1,0
2017-01-24,2,0
2017-01-25,3,2
2017-01-26,4,0
2017-01-27,5,1
2017-01-28,6,3
2017-01-29,0,2
2017-01-30,1,10
2017-01-31,2,20
2017-02-01,3,6
2017-02-02,4,9
2017-02-03,5,12
2017-02-04,6,2
2017-02-05,0,1
2017-02-06,1,10
2017-02-07,2,4
2017-02-08,3,3
2017-02-09,4,0
2017-02-10,5,2
2017-02-11,6,3
2017-02-12,0,0
2017-02-13,1,5
2017-02-14,2,7
2017-02-15,3,0
2017-02-16,4,1
2017-02-17,5,1
2017-02-18,6,5
2017-02-19,0,1
2017-02-20,1,0
2017-02-21,2,3
2017-02-22,3,1
2017-02-23,4,2
2017-02-24,5,2
2017-02-25,6,1
2017-02-26,0,2
2017-02-27,1,2
2017-02-28,2,5
2017-03-01,3,2
2017-03-02,4,5
2017-03-03,5,2
2017-03-04,6,2
2017-03-05,0,1
2017-03-06,1,0
2017-03-07,2,2
2017-03-08,3,1
2017-03-09,4,0
2017-03-10,5,1
2017-03-11,6,0
2017-03-12,0,1
2017-03-13,1,2
2017-03-14,2,2
2017-03-15,3,5
2017-03-16,4,2
2017-03-17,5,1
2017-03-18,6,2
2017-03-19,0,1
2017-03-20,1,1
2017-03-21,2,2
2017-03-22,3,2
2017-03-23,4,1
2017-03-24,5,0
2017-03-25,6,1
2017-03-26,0,0
2017-03-27,1,2
2017-03-28,2,1
2017-03-29,3,0
2017-03-30,4,1
2017-03-31,5,1
2017-04-01,6,1
2017-04-02,0,2
2017-04-03,1,2
2017-04-04,2,1
2017-04-05,3,2
2017-04-06,4,4
2017-04-07,5,0
2017-04-08,6,0
2017-04-09,0,0
2017-04-10,1,0
2017-04-11,2,1
2017-04-12,3,1
2017-04-13,4,0
2017-04-14,5,1
2017-04-15,6,1
